,0
1229,-9125024.508711455
1230,-9117111.94166063
1231,-9129516.708123289
1232,-9116040.792732565
1233,-9125411.849184763
1234,-9108901.52352363
1235,-9097614.664958948
1236,-9110322.965635031
1237,-9087070.41059007
1238,-9097120.416883457
1239,-9082211.491526935
1240,-9077893.732423635
1241,-9081599.722135525
1242,-9088508.29319258
1243,-9084582.950006558
1244,-9076596.011976501
1245,-9078825.037846385
1246,-9065630.415570395
1247,-9055793.788290773
1248,-9046262.599046186
1249,-9067559.513768176
1250,-9044182.21061727
1251,-9057083.553491946
1252,-9037733.776579011
1253,-9058657.248663018
1254,-9031859.364831055
1255,-9028577.961069405
1256,-9036877.45164524
1257,-9018655.377089698
1258,-9021129.63844338
1259,-9013730.231894556
1260,-9001366.587797765
1261,-9019020.88541496
1262,-9004121.758618051
1263,-9016437.899978498
1264,-9010833.415524332
1265,-8993255.597791225
1266,-9003452.188738512
1267,-9001691.92339034
1268,-8980858.192560993
1269,-8987032.425823376
1270,-8974553.579093006
1271,-8967030.904777896
1272,-8988314.891967729
1273,-8981422.359443901
1274,-8952320.774004554
1275,-8967320.043880647
1276,-8959931.32568195
1277,-8956469.332483614
1278,-8955587.601665981
1279,-8962890.144141834
1280,-8935021.322673915
1281,-8938217.954744328
1282,-8949633.225679345
1283,-8932040.244340178
1284,-8933808.04405798
1285,-8923943.369179664
1286,-8928061.821667159
1287,-8919602.141162993
1288,-8917006.191208966
1289,-8905491.505790254
1290,-8906271.146654245
1291,-8907917.070388177
1292,-8909980.664707268
1293,-8902152.067727929
1294,-8892474.530710932
1295,-8883809.153937437
1296,-8893362.388038328
1297,-8894203.472980915
1298,-8881936.092603
1299,-8891945.792343067
1300,-8866699.630156975
1301,-8896768.546833549
1302,-8870368.854701323
1303,-8860116.21445789
1304,-8857180.008298226
1305,-8864783.053841427
1306,-8860080.536366269
1307,-8860526.2825719
1308,-8854988.344506195
1309,-8856977.965300936
1310,-8853593.390716953
1311,-8834127.842085129
1312,-8828145.87007308
1313,-8838518.617268352
1314,-8831768.844151754
1315,-8823027.472084126
1316,-8830170.238701236
1317,-8815958.355659934
1318,-8829572.20726058
1319,-8809915.88457297
1320,-8800370.757547121
1321,-8812535.802099727
1322,-8807678.469521312
1323,-8805125.031162968
1324,-8801871.07758605
1325,-8791620.27095709
1326,-8794233.16921037
1327,-8791162.533583272
1328,-8781122.300816309
1329,-8783127.652542928
1330,-8778387.89926918
1331,-8768397.380823836
1332,-8775068.956176199
1333,-8776650.748521691
1334,-8766543.429885305
1335,-8763981.462949894
1336,-8758074.24246003
1337,-8761148.034525586
1338,-8757459.066106232
1339,-8746106.871752357
1340,-8754040.47122733
1341,-8737545.056991031
1342,-8741891.544917475
1343,-8736432.742876519
1344,-8728714.151928538
1345,-8724348.34395926
1346,-8722108.55178064
1347,-8721561.397312367
1348,-8726266.085549265
1349,-8704668.615832698
1350,-8717164.645608278
1351,-8707139.365586216
1352,-8712987.767499434
1353,-8705462.720523832
1354,-8706179.162428817
1355,-8692161.05839418
1356,-8687025.596559105
1357,-8679991.18370979
1358,-8687500.797633326
1359,-8675954.738382677
1360,-8680956.27550882
1361,-8678741.974806003
1362,-8684455.28205521
1363,-8664042.657437246
1364,-8683177.790472215
1365,-8676153.320142383
1366,-8661422.874872189
1367,-8666839.275244996
1368,-8658842.787711529
1369,-8649003.809513282
1370,-8649441.89946728
1371,-8635138.593672983
1372,-8634101.815688856
1373,-8636625.076381933
1374,-8648023.481140504
1375,-8631425.285349134
1376,-8645149.711194754
1377,-8631570.523930978
1378,-8622600.201298747
1379,-8619519.578000685
1380,-8610260.104769288
1381,-8622701.31086175
1382,-8618273.026711296
1383,-8598935.786773523
1384,-8607029.413909266
1385,-8597424.391931701
1386,-8596491.363694627
1387,-8593265.953507138
1388,-8597431.785191132
1389,-8598931.659751471
1390,-8583398.83687607
1391,-8575356.575150527
1392,-8589183.238722399
1393,-8575595.533709629
1394,-8586269.374210918
1395,-8559031.221259492
1396,-8573669.013417514
1397,-8563522.73927073
1398,-8556860.45530379
1399,-8577874.130217727
1400,-8565030.54695798
1401,-8552911.118031895
1402,-8555668.521871848
1403,-8553634.660610754
1404,-8554763.278447207
1405,-8541405.105117476
1406,-8533081.07870378
1407,-8531790.082692055
1408,-8530514.69727057
1409,-8537521.618255265
1410,-8532813.678803353
1411,-8538678.294298653
1412,-8521463.109898351
1413,-8518861.840382075
1414,-8516035.049715085
1415,-8516032.398135118
1416,-8509403.224153375
1417,-8506385.647511432
1418,-8500946.155241279
1419,-8504213.921276238
1420,-8492657.971084367
1421,-8500366.028526094
1422,-8501065.211249307
1423,-8485934.868452055
1424,-8483695.198717948
1425,-8481076.821966914
1426,-8491798.856542347
1427,-8484783.812308325
1428,-8468802.95274185
1429,-8475717.687926318
1430,-8465900.139760513
1431,-8480268.876067838
1432,-8484643.300010968
1433,-8472576.961820636
1434,-8445230.866866792
1435,-8459347.352517094
1436,-8462406.148539642
1437,-8454137.873773366
1438,-8433237.178538833
1439,-8443002.54823605
1440,-8424481.951942746
1441,-8443107.643230766
1442,-8434767.71148608
1443,-8433456.275937626
1444,-8424306.415456861
1445,-8430242.260800475
1446,-8424382.855351357
1447,-8431001.012397226
1448,-8430097.651489912
1449,-8405211.261004018
1450,-8420693.613929357
1451,-8417266.132294677
1452,-8422082.572747955
1453,-8398811.507186534
1454,-8386414.960636933
1455,-8396206.910865445
1456,-8382061.653644865
1457,-8396325.70714895
1458,-8381787.921489009
1459,-8390324.953137573
1460,-8388013.611756673
1461,-8397479.712099498
1462,-8387298.732676145
1463,-8382126.558997389
1464,-8363468.817651837
1465,-8371474.323626007
1466,-8367903.271902064
1467,-8374767.531262811
1468,-8359292.444692332
1469,-8358511.993354644
1470,-8342901.4462555675
1471,-8345401.535846241
1472,-8364703.7361648865
1473,-8363751.508248288
1474,-8338070.969809686
1475,-8345739.3815374
1476,-8337799.380827947
1477,-8341148.377091842
1478,-8334037.269266873
1479,-8323226.828942428
1480,-8349172.716914308
1481,-8315376.727017194
1482,-8338924.859695622
1483,-8301765.671240315
1484,-8316879.285742292
1485,-8317366.623626442
1486,-8303629.851034579
1487,-8324398.75580221
1488,-8317576.644671049
1489,-8308715.0614531515
1490,-8298519.629147291
1491,-8304586.9524446
1492,-8309619.038715343
1493,-8280927.393631668
1494,-8287996.412290984
1495,-8294183.143957471
1496,-8287457.29063409
1497,-8292434.838501337
1498,-8272485.234259544
1499,-8275931.944042803
1500,-8284353.510019424
1501,-8279783.4598922925
1502,-8266109.167783434
1503,-8272396.183410834
1504,-8262173.757937069
1505,-8258765.522802061
1506,-8257735.999406717
1507,-8259462.961234365
1508,-8258448.480104387
1509,-8256352.487624017
1510,-8252045.816653154
1511,-8255584.674136534
1512,-8247349.616188037
1513,-8244376.678541858
1514,-8237529.515900182
1515,-8223838.277999278
1516,-8228997.622068146
1517,-8232611.5877011325
