,sigma2,mu,tau2
1038,78.66588055010044,235.9994986839287,446.3824917384583
1039,78.85951544756502,239.30283642177756,348.1384050229957
1040,78.76730564351443,232.2665796151753,270.88435713448786
1041,78.88247100782397,238.607828548121,447.48325731127557
1042,78.89691171384071,239.55551775714642,378.24673102929427
1043,79.03002044155993,235.42381624271547,552.0359895726167
1044,79.02587763757711,240.5876515385669,584.7542929576595
1045,79.1236641668976,240.849855437438,442.82744049233287
1046,79.16044360785092,237.8895686856451,214.7437497659065
1047,79.09332464088982,245.86461400843515,439.20188827797045
1048,79.31167679576731,237.51205766864024,514.8763432426564
1049,79.19740831811035,247.36614504070198,524.520968895416
1050,79.27398542883367,242.59772028927785,475.040414592913
1051,79.41692141322622,241.10810578420217,423.49279666875486
1052,79.52063372338482,236.3954689554761,416.2182986270874
1053,79.67364393730985,232.06898186105383,536.0809834988114
1054,79.4892110614292,239.6280889080053,381.07532406230877
1055,79.70386791731302,242.23387383896716,459.1021905959248
1056,79.77342083471912,241.70433727888974,538.9680444895514
1057,79.78992988871524,232.7320303939351,541.273133599368
1058,79.80784130017328,238.39396274280384,551.7788914423636
1059,79.7644680031425,233.43200538356163,768.9506760697151
1060,79.92323329706673,240.80999557811444,539.5535669156462
1061,79.8497239950187,244.005213236423,423.40590162457875
1062,79.73924307360045,238.7738077252827,692.3586248676929
1063,80.17842090325512,239.75485116065624,388.7195065679015
1064,79.99980032605454,235.2235940152385,443.5135923409872
1065,80.02493938581732,240.848509069566,511.79256081657076
1066,80.19301300183882,237.54203980146076,444.4043373396535
1067,80.24342594732133,240.6011202145056,368.1069903015727
1068,80.16390438188726,239.60865187095985,471.2312591490908
1069,80.3252575214224,242.23440820908613,412.5517335199635
1070,80.28077952220863,242.70166726862934,363.938650954863
1071,80.43650831725736,237.31412962330194,607.3960483824695
1072,80.2668727298466,240.22444388056124,331.2871328318737
1073,80.42280305594699,234.81834578558784,346.77110837791275
1074,80.42683094407006,238.28386383710782,352.9506019415286
1075,80.568027902821,245.9577879281086,558.3228081955806
1076,80.62619881672225,237.73988280444948,317.6481013222326
1077,80.81392539001692,240.58951309801904,449.07976128798043
1078,80.67797492272268,239.48408877803197,328.1869685512227
1079,80.8637126384157,239.8287363616207,748.4217289827149
1080,80.77580600868396,234.85612260508384,367.1451303749219
1081,80.82668011772088,239.949167301001,535.1314963457047
1082,80.98402081443108,236.31421013589997,263.8194579317963
1083,81.0469585846072,233.1379509960609,324.39309964321154
1084,81.01304098832583,241.61001250640152,400.86213219368113
1085,80.92123817097396,239.93305898107815,410.19777401817134
1086,81.05301154948096,239.7095968742816,363.2945363941975
1087,81.32249082705627,241.66664162758482,431.07824023059294
1088,81.28913982510997,242.24064897416432,382.0880936229031
1089,81.38307319681088,241.832743741504,268.85290544660353
1090,81.23604997380664,240.48652202396846,362.91643767015665
1091,81.2021244113133,239.42070489338866,513.5796408013846
1092,81.2807592871777,243.8418258140892,421.5177814790306
1093,81.50647781938854,239.37295712120195,480.2243880787214
1094,81.34483508942188,236.18742574739883,507.0747523455823
1095,81.65344649416555,242.6799825486835,614.2495305761481
1096,81.45072653076433,235.40746948298394,595.2381511533125
1097,81.64333455159719,235.4511455349966,301.0176983227293
1098,81.59144029361448,241.37292169406712,381.4720843445172
1099,81.62931975177717,242.1899093058596,300.7871162420905
1100,81.73523584355056,245.8084333556539,502.08440350432113
1101,81.89846461357534,234.4994118045932,559.6146907649712
1102,81.68391027824954,235.71962840281088,480.040752644924
1103,81.81177141864245,237.4618551250106,365.23125577962395
1104,81.78993824025035,238.8700221950898,455.64289971083195
1105,81.90893090582334,234.7907937211578,494.1580446705997
1106,82.12494271872343,234.5765333911198,517.5256033871221
1107,82.2992978066677,239.4400826722134,452.24248922180055
1108,81.99447118839957,244.95182793277897,529.4166653150633
1109,82.28878073079517,239.33912702698348,559.8717054659477
1110,82.17278190875473,240.09612821602846,317.5313377086579
1111,82.3935884576932,241.1129638302475,756.7894210987814
1112,82.1877099256214,243.23924604844825,488.1981043899086
1113,82.32152834364975,237.41566507865804,434.0498435748813
1114,82.41374249212159,246.5244555609363,457.2570559385618
1115,82.49098227570093,243.31549818189873,404.344276050332
1116,82.61812186601588,235.41886593250274,345.4119314068979
1117,82.65243116907212,244.65666880905852,652.0476386901121
1118,82.59915995936746,228.86587285409473,516.4691096805659
1119,82.50493358658612,239.1938402228425,399.13359939607875
1120,82.70351581516334,241.9306880609698,391.27956835825034
1121,82.7935633236562,239.79867400492765,370.93164005188487
1122,82.80901843550546,240.34087114787226,658.3988828310299
1123,82.80234858113863,239.3454440952835,459.4965116818678
1124,82.84106422470623,246.64339036835673,397.41687447934436
1125,82.91242686046347,236.87935181424393,396.4760510475404
1126,82.99844026199504,238.02440814252833,496.5849155828562
1127,82.8685439500006,239.02569070155772,632.428447369665
1128,83.09087770022504,240.99744875609483,423.83425282144464
1129,83.12709590035809,247.63283399095468,456.50754177959453
1130,83.10680989167835,234.07702108369216,310.66372306622395
1131,83.17607089696456,230.217795955345,661.4783818563085
1132,83.24129795659495,238.91392739147904,403.978799720935
1133,83.3625653400352,240.82184302669964,389.70120066386653
1134,83.35093828425829,245.93638031935535,406.46839798895866
1135,83.39760799484768,236.67505922602956,413.6773464218319
1136,83.29018635640497,244.1451292101201,502.6158310143699
1137,83.32628550765246,236.71435547272463,443.5253521520192
1138,83.43958809476648,239.46583240134336,428.52586822184225
1139,83.59623732637088,238.52831630821586,358.033806740411
1140,83.64079500641267,238.89370861100622,316.9278574906949
1141,83.74552620528435,242.5227951148798,353.2292399420157
1142,83.63527868424995,234.72896022996767,724.6768494865079
1143,83.80145885471691,235.3737927715266,452.6958588353195
1144,83.82599669451288,240.44571064928638,360.05921836466473
1145,83.8281492381594,236.02552419034086,286.7337995333982
1146,83.76897041141244,241.1533448824515,432.7429650897677
1147,84.1625151580334,240.54429421892743,367.030120137778
1148,83.8661525115547,243.1894150235439,440.01925964556557
1149,83.98546503335128,237.96851942433634,526.9163378389225
1150,84.17555555867794,242.2603457251939,299.27557752048466
1151,84.1371349876039,241.16140806222975,623.8187916428695
1152,84.22276411532282,235.80537253201618,337.95217680932245
1153,84.20285805023964,238.17827468915013,343.04152292532325
1154,84.32278957194757,240.6339422571328,528.727275143489
1155,84.30521417982392,236.05267267410065,398.6059116227106
1156,84.29321360756532,236.6818306102412,218.07597425164332
1157,84.36732726565296,243.52623767182277,734.0195531085795
1158,84.49326636423407,238.84535692342385,781.3439399571541
1159,84.48810765698443,237.58712369814702,529.3718539290787
1160,84.41338835121836,242.4984418574139,459.68373819863695
1161,84.62380916972111,240.17864341887824,318.25147674937637
1162,84.80780607124593,245.56749764858012,326.58587550037595
1163,84.79692815556761,245.611626720077,434.1811139903322
1164,84.77193439679961,240.50073805614468,274.21614727425595
1165,84.68071337715837,235.00885616185528,356.21691121920077
1166,84.93385610720308,244.363474167066,494.8821811274301
1167,84.78314991419471,236.91337934170684,299.43994858561723
1168,84.85091914393145,242.22178434517136,449.869001656173
1169,85.09365147197154,239.25706850328405,387.894053118045
1170,84.99366656324875,236.34171988834115,388.67923840997054
1171,84.88975732917838,237.3988885922916,599.8540767002562
1172,85.12640811161248,243.57503851033928,304.3873353782853
1173,85.13936573430777,234.60406743329128,434.66894903561814
1174,85.03737202614303,235.1600545628748,589.8703285225937
1175,85.09450802235686,234.65362207440452,504.8702383485819
1176,85.2537560205013,239.5215761405439,518.5204676880342
1177,85.4304325154149,236.13547246266387,369.70959025635756
1178,85.41148342855153,241.23400273486283,515.5070140652982
1179,85.40726049182338,240.94007299984216,735.9570204400724
1180,85.56253236010366,240.09648987949248,586.5895557521185
1181,85.63332832057758,235.19925021678148,324.3402274304839
1182,85.76637491756875,243.35263673652327,618.4753668173929
1183,85.44783657144815,237.61614655875226,357.4422077403654
1184,85.73859087894543,238.70607022891147,534.26622996936
1185,85.69330479601717,237.92741602344756,499.91675608261465
1186,85.7066014306581,237.8803470040321,370.45394082361764
1187,85.93955362130342,239.36491423604988,532.0864400617457
1188,85.90097709693401,240.61747005373093,617.4060407114205
1189,85.87125883457304,232.40383268360776,424.2859125364574
1190,85.94442557575611,237.48071207753168,788.2565523513713
1191,85.90188648430397,238.12672352378365,611.7907983427032
1192,85.96067737143125,243.6963200559478,347.0729041948706
1193,86.00659935251326,236.59840920121601,379.64690402673693
1194,86.06804044086857,240.01010497783625,588.8269974101248
1195,86.1601737788932,243.73285096646086,414.6425280486457
1196,86.17860946439806,244.01639163619836,406.7972555277049
1197,86.3524321965816,233.01930382065626,393.99731211145047
1198,86.33903585636436,245.20750857992832,484.50521610690873
1199,86.3074681470204,237.41337572851302,424.22268125571304
1200,86.44821343192191,243.30687142298214,551.6410955126039
1201,86.26269426716384,243.1735820891772,301.69415330226997
1202,86.48250886170815,236.33358590381113,555.5850654649091
1203,86.24782533056371,238.2592574263803,347.17331249862355
1204,86.53657699378432,234.83698836181827,431.1421181076035
1205,86.7227421501356,236.7006431335854,393.98585485506965
1206,86.69999051052669,238.83818835282327,540.4248882048779
1207,86.78424999236913,243.66573630178397,200.24110765877887
1208,86.93202309026225,240.01643654301444,230.52273332436837
1209,86.86128177483666,241.5929041245982,465.3066715423398
1210,86.77408621948443,242.69101421500307,303.1774610091657
1211,86.78130183470893,235.93998520599052,287.47802050232974
1212,86.93195731177322,239.62763178822428,304.56649496644667
1213,86.93701921824861,242.11562902522007,547.0627003570542
1214,87.07320412264083,231.95995585059794,541.6656804168318
1215,87.09935045358498,233.2979875508828,437.2014166373935
1216,87.27813276012085,239.16205964126192,443.5983656455846
1217,87.21206779059823,237.03875019904538,486.1905166686734
1218,87.12528201076857,241.97999724502884,334.20562114286963
1219,87.21383428189435,232.30445892764934,369.6481780335426
1220,87.13703271785269,243.31004493702753,575.9547090402799
1221,87.4208332324451,236.47545692507083,377.4693569697495
1222,87.28477665117995,233.1294602808241,399.0904713286557
1223,87.53764547585409,236.41636106352297,377.98247849275015
1224,87.71783441294153,241.38532174605015,283.6715641510682
1225,87.426617572495,241.41896043604817,717.6889150653045
1226,87.67937168617766,232.99037971757548,490.8364469158211
1227,87.81057393609446,243.1462450853548,415.48754203698314
1228,87.6571185689975,236.3987588815904,549.5190735086433
1229,87.79912647429897,240.5275068324763,406.4634078642854
1230,87.8958562847703,232.2401389435761,455.12478458408236
1231,87.74474823890347,245.32089910646985,415.9870639139257
1232,87.90915542441574,234.62691344160635,587.7648257444092
1233,87.79490499720502,243.48106800246057,363.6148631352293
1234,87.996701489016,236.1297404381465,406.5736795811631
1235,88.13519685071036,238.01655384675473,561.9496389729517
1236,87.97950766239803,236.6650830644683,372.5695677158093
1237,88.26514009277305,240.97668233900944,381.3638819173084
1238,88.14159968998106,243.63457832934645,370.3635632165584
1239,88.3252326442963,238.60114457376932,688.3244768778344
1240,88.37869218003301,237.47566479445894,511.63094924848076
1241,88.333066847504,238.16080900333964,543.7591565087253
1242,88.24801177951942,233.14559466528505,441.2142596944729
1243,88.29657997712694,241.3291871967426,549.9789109583804
1244,88.39512609405796,241.19391195401113,680.214551591264
1245,88.36775853718076,242.20793290699865,339.4696379615262
1246,88.53113176512095,239.21621401466405,432.78579075531906
1247,88.65330424869894,243.44632744893113,396.4112634255144
1248,88.77205885628072,239.4685065376451,435.8808322032986
1249,88.50748599286256,243.48724690076418,455.7498171000543
1250,88.79822437094079,241.0250787068497,310.98158317334816
1251,88.6377229104554,237.67107786872324,569.2250796848573
1252,88.87890460379512,234.6064239273933,661.452803098117
1253,88.61843187196311,239.24523055217048,302.11952203154107
1254,88.95259833516707,237.38387055513874,345.1409399238225
1255,88.99383661883226,234.64049365014145,461.7835012280019
1256,88.89005205285974,241.00192172436255,310.6957384383191
1257,89.11846864744565,237.10439943496962,381.6371762512915
1258,89.08757390577458,242.43164299923782,348.47515834219763
1259,89.18067507332565,237.0654380183539,341.4862481203467
1260,89.33656970857919,233.9313549127209,478.51010514167774
1261,89.11434714970258,236.58619131529437,447.30567771318505
1262,89.3020490803952,239.62443255643032,854.5528054116719
1263,89.14710021983359,239.3270052138344,346.99365493117637
1264,89.21779834532828,236.5100494986754,446.90476267551134
1265,89.43967533651434,239.10977147063497,327.53626900469084
1266,89.31104353283588,232.66933658729727,557.8260226335412
1267,89.33338241909036,240.62682894345764,389.5334403409267
1268,89.59714828233327,239.9128897893877,634.4019387011377
1269,89.5189161244129,239.39646765510076,472.7122267118615
1270,89.67756839514006,240.28176308179,302.2195227518745
1271,89.77352529247763,245.37114713493395,403.2962552470599
1272,89.50308522239729,237.90891289873622,313.5955002240216
1273,89.59064664207953,238.8135005648022,431.3840174820276
1274,89.96184854811716,239.20893019632808,382.65096390795486
1275,89.77031125839802,240.45265281534446,407.29250280657465
1276,89.86468422671707,243.85127214052986,316.52618916282023
1277,89.90906957278493,237.93239363305193,592.5680159522162
1278,89.92047988745912,237.27103381080914,302.1927103135139
1279,89.82729167592392,241.75486409717132,493.9063308779661
1280,90.18459174990214,238.3583215972936,366.20043774423306
1281,90.14365821196876,239.94570625550645,680.4883825336767
1282,89.99724675218341,238.40560614581756,454.3976317357254
1283,90.22333976608077,240.12839160206326,311.72561954150405
1284,90.20067155968998,237.08637903058045,610.0473731084018
1285,90.32796301892091,242.112482753948,412.0826030577949
1286,90.27494980057189,243.8587767068544,513.6101823573123
1287,90.38432919881902,237.8166191077168,379.9113162041999
1288,90.4179597304314,239.4199005210434,304.0936448030754
1289,90.56731885299685,240.59013605653573,624.5924921317493
1290,90.55729126220473,235.61287866531015,399.0957799884578
1291,90.53608110231427,244.11717809123667,640.2758661027448
1292,90.50939725475023,237.5943810125949,398.82913525351216
1293,90.61121066314841,235.62087406476377,307.2614817824978
1294,90.7371122737359,243.81900341850994,306.7335277059688
1295,90.85038006292099,237.04928261824676,383.5816245239022
1296,90.72587480428149,239.69639896454368,300.51505978519384
1297,90.71503584536299,243.8754272467986,419.7049947850841
1298,90.8751798611225,234.3272874016767,324.2386453658361
1299,90.74466635879266,243.77910860468882,551.4442931559097
1300,91.07497858363749,242.4745608569332,744.7861046655547
1301,90.68211087711653,241.4209049004421,371.63299473593923
1302,91.02705652510122,235.87153909571512,377.8353631104346
1303,91.16185974609604,240.63948568174226,463.70529952824467
1304,91.20065535883006,248.47696408837334,461.0242637055503
1305,91.10084671404913,239.17289734524203,562.5862621873189
1306,91.16272877245068,241.12541699562317,463.09706484441085
1307,91.15697951533238,234.51840418137084,640.8378085245811
1308,91.23001516250368,237.96420310879705,412.06080572027594
1309,91.20389421500087,242.99912861133876,447.06876338689443
1310,91.2486189911549,232.58065217444724,351.3046024006317
1311,91.50604540061485,241.86696010462853,516.1526965714405
1312,91.58546777154356,237.86623728289246,411.72199686186826
1313,91.44809191621603,239.39733639371258,778.8044894781607
1314,91.53768944603344,238.74175384626744,261.3619711884869
1315,91.65388265066319,246.47709953587787,390.7318538582665
1316,91.55905833840522,238.66723083952826,446.6256122045008
1317,91.74822144702667,239.11271304020104,412.64196771478856
1318,91.56723406975556,233.81122814734525,322.5204112745426
