CNS,COD_MCPIO,MCPIO
52.5,15368,Jericó
33.7,15377,Labranzagrande
80.4,15380,La Capilla
50.4,15401,La Victoria
102.5,15403,La Uvita
73.2,15407,Villa de Leyva
64.4,15425,Macanal
58.6,15442,Maripí
73.5,15455,Miraflores
64.1,15464,Mongua
76.6,15466,Monguí
77.0,15469,Moniquirá
67.2,15476,Motavita
68.3,15480,Muzo
79.3,15491,Nobsa
65.0,15494,Nuevo Colón
54.8,15500,Oicatá
48.8,15507,Otanche
51.2,15511,Pachavita
67.1,15514,Páez
90.2,15516,Paipa
88.3,15518,Pajarito
119.8,15522,Panqueba
62.6,15531,Pauna
75.5,15533,Paya
69.1,15537,Paz de Río
65.3,15542,Pesca
70.5,15550,Pisba
69.2,15572,Puerto Boyacá
60.3,15580,Quípama
70.6,15599,Ramiriquí
20.2,15600,Ráquira
68.2,15621,Rondón
80.5,15632,Saboyá
70.5,15638,Sáchica
69.0,15646,Samacá
76.2,15660,San Eduardo
60.6,15664,San José de Pare
74.5,15667,San Luis de Gaceno
66.8,15673,San Mateo
59.0,15676,San Miguel de Sema
58.4,15681,San Pablo de Borbur
82.5,15686,Santana
61.6,15690,Santa María
56.7,15693,Santa Rosa de Viterbo
83.6,15696,Santa Sofía
53.3,15720,Sativanorte
102.4,15723,Sativasur
77.0,15740,Siachoque
98.3,15753,Soatá
54.4,15755,Socotá
97.1,15757,Socha
92.7,15759,Sogamoso
79.6,15761,Somondoco
79.5,15762,Sora
49.4,15763,Sotaquirá
80.8,15764,Soracá
53.7,15774,Susacón
66.2,15776,Sutamarchán
68.7,15778,Sutatenza
77.0,15790,Tasco
72.4,15798,Tenza
115.5,19142,Caloto
71.4,15804,Tibaná
66.5,15806,Tibasosa
66.2,15808,Tinjacá
70.4,15810,Tipacoque
72.2,15814,Toca
68.1,15816,Togüí
82.5,15820,Tópaga
73.0,15822,Tota
70.8,15832,Tununguá
104.8,15835,Turmequé
90.0,15837,Tuta
110.6,15839,Tutazá
56.8,15842,Umbita
76.7,15861,Ventaquemada
62.2,15879,Viracachá
91.6,15897,Zetaquira
81.9,17001,Manizales
71.2,17013,Aguadas
72.4,17042,Anserma
77.4,17050,Aranzazu
68.4,17088,Belalcázar
74.3,17174,Chinchiná
71.0,17272,Filadelfia
70.7,17380,La Dorada
95.0,17388,La Merced
54.3,17433,Manzanares
69.2,17442,Marmato
67.9,17444,Marquetalia
47.1,17446,Marulanda
43.4,17486,Neira
68.4,17495,Norcasia
63.5,17513,Pácora
18.6,27160,Cértegui
72.4,17524,Palestina
63.7,17541,Pensilvania
68.9,17614,Riosucio
76.2,17616,Risaralda
67.5,17653,Salamina
54.2,17662,Samaná
57.8,17665,San José
75.9,17777,Supía
73.8,17867,Victoria
81.4,17873,Villamaría
84.2,17877,Viterbo
71.5,18001,Florencia
47.3,18029,Albania
55.0,18094,Belén de los Andaquies
52.1,18150,Cartagena del Chairá
55.6,18205,Curillo
67.8,18247,El Doncello
40.8,18256,El Paujil
36.0,18410,La Montañita
51.6,18460,Milán
73.2,18479,Morelia
53.3,18592,Puerto Rico
65.6,18610,San José del Fragua
51.2,18753,San Vicente del Caguán
25.2,18756,Solano
55.1,18785,Solita
56.4,18860,Valparaíso
82.5,19001,Popayán
64.4,19022,Almaguer
46.2,19050,Argelia
46.8,19075,Balboa
53.6,19100,Bolívar
43.9,19110,Buenos Aires
55.2,19130,Cajibío
60.3,19137,Caldono
61.2,19212,Corinto
64.1,19256,El Tambo
55.1,19290,Florencia
52.8,19300,Guachene
52.8,19318,Guapi
55.6,19355,Inzá
57.8,19364,Jambaló
65.1,19392,La Sierra
33.5,19397,La Vega
32.9,19418,López
56.4,19450,Mercaderes
52.8,19455,Miranda
60.3,19473,Morales
86.6,19513,Padilla
48.5,19517,Paez
53.0,19532,Patía
44.1,19533,Piamonte
68.3,19548,Piendamó
69.7,19573,Puerto Tejada
59.1,19585,Puracé
53.2,19622,Rosas
48.3,19693,San Sebastián
76.9,19698,Santander de Quilichao
29.1,19701,Santa Rosa
58.7,19743,Silvia
42.3,19760,Sotara
57.5,19780,Suárez
37.1,19785,Sucre
70.9,19807,Timbío
45.6,19809,Timbiquí
58.4,19821,Toribio
54.5,19824,Totoró
67.8,19845,Villa Rica
67.8,20001,Valledupar
67.3,20011,Aguachica
66.0,20013,Agustín Codazzi
49.1,20032,Astrea
74.8,20045,Becerril
61.2,20060,Bosconia
66.6,20175,Chimichagua
81.9,20178,Chiriguaná
75.6,20228,Curumaní
61.6,20238,El Copey
76.5,20250,El Paso
45.0,20295,Gamarra
27.1,20310,González
59.6,20383,La Gloria
91.5,20400,La Jagua de Ibirico
53.1,20443,Manaure
67.5,20517,Pailitas
65.9,20550,Pelaya
37.5,20570,Pueblo Bello
66.7,20614,Río de Oro
62.5,20621,La Paz
65.2,20710,San Alberto
77.4,20750,San Diego
64.7,20770,San Martín
82.3,20787,Tamalameque
77.1,23001,Montería
55.6,23068,Ayapel
55.2,23079,Buenavista
57.8,23090,Canalete
78.8,23162,Cereté
66.4,23168,Chimá
72.4,23182,Chinú
63.1,23189,Ciénaga de Oro
72.2,23300,Cotorra
38.2,44420,La Jagua del Pilar
56.6,23350,La Apartada
80.0,23417,Lorica
50.2,23419,Los Córdobas
82.3,23464,Momil
61.0,23466,Montelíbano
66.1,23500,Moñitos
74.6,23555,Planeta Rica
51.9,23570,Pueblo Nuevo
56.0,23574,Puerto Escondido
44.3,23580,Puerto Libertador
81.4,23586,Purísima
80.5,23660,Sahagún
33.8,23670,San Andrés Sotavento
72.0,23672,San Antero
62.7,23675,San Bernardo del Viento
59.9,23678,San Carlos
70.0,23686,San Pelayo
56.7,23807,Tierralta
66.0,23855,Valencia
94.0,25001,Agua de Dios
72.8,25019,Albán
77.8,25035,Anapoima
104.5,25040,Anolaima
66.4,25053,Arbeláez
77.3,25086,Beltrán
60.3,25095,Bituima
62.6,25099,Bojacá
65.8,25120,Cabrera
51.9,25123,Cachipay
87.3,25126,Cajicá
55.8,25148,Caparrapí
86.0,25151,Caqueza
61.3,25154,Carmen de Carupa
58.4,25168,Chaguaní
88.3,25175,Chía
83.8,25178,Chipaque
97.3,25181,Choachí
74.3,25183,Chocontá
75.4,25200,Cogua
88.4,25224,Cucunubá
86.5,25245,El Colegio
69.5,25258,El Peñón
86.6,25260,El Rosal
85.5,25269,Facatativá
78.9,25279,Fomeque
63.6,25281,Fosca
107.4,25286,Funza
86.6,25290,Fusagasugá
59.8,25293,Gachala
57.2,25295,Gachancipá
80.0,25297,Gachetá
58.2,25299,Gama
84.9,25307,Girardot
66.9,25312,Granada
92.6,25317,Guachetá
58.9,25320,Guaduas
94.3,25322,Guasca
72.7,25324,Guataquí
63.2,25326,Guatavita
93.1,25328,Guayabal de Siquima
112.1,25335,Guayabetal
65.1,25339,Gutiérrez
50.2,25368,Jerusalén
67.0,25372,Junín
115.9,25377,La Calera
82.8,25386,La Mesa
67.2,25394,La Palma
55.5,25398,La Peña
90.3,25402,La Vega
63.0,25407,Lenguazaque
88.7,25426,Macheta
83.2,25430,Madrid
61.4,25436,Manta
57.7,25438,Medina
102.7,25473,Mosquera
72.0,25483,Nariño
82.4,25486,Nemocón
53.9,25488,Nilo
46.6,25489,Nimaima
69.3,25491,Nocaima
92.7,25506,Venecia
78.6,25513,Pacho
69.6,25518,Paime
45.1,25524,Pandi
68.5,25530,Paratebueno
109.4,25535,Pasca
48.3,25572,Puerto Salgar
78.8,25580,Pulí
67.1,25592,Quebradanegra
91.7,25594,Quetame
59.6,25596,Quipile
0.794,00000,NACIONAL
71.5,25599,Apulo
69.4,25612,Ricaurte
75.5,25645,San Antonio del Tequendama
90.2,25649,San Bernardo
72.8,25653,San Cayetano
65.5,25658,San Francisco
66.0,25662,San Juan de Río Seco
93.0,25718,Sasaima
73.9,25736,Sesquilé
75.0,25740,Sibaté
15.9,52520,Francisco Pizarro
57.5,25743,Silvania
72.9,25745,Simijaca
75.5,25754,Soacha
87.9,25758,Sopó
118.9,25769,Subachoque
71.7,25772,Suesca
65.8,25777,Supatá
40.1,25779,Susa
81.1,25781,Sutatausa
59.7,25785,Tabio
85.3,25793,Tausa
58.8,25797,Tena
120.1,25799,Tenjo
75.2,25805,Tibacuy
65.4,25807,Tibirita
66.8,25815,Tocaima
85.9,25817,Tocancipá
