CNS,COD_MCPIO,MCPIO
73.2,15172,Chinavita
80.0,15176,Chiquinquirá
64.3,15180,Chiscas
69.8,15183,Chita
69.8,15185,Chitaraque
28.4,15187,Chivatá
91.3,15189,Ciénega
67.1,15204,Cómbita
59.3,15212,Coper
82.7,15215,Corrales
61.1,15218,Covarachía
34.3,15223,Cubará
60.0,15224,Cucaita
61.6,15226,Cuítiva
62.3,15232,Chíquiza
95.6,15236,Chivor
85.4,15238,Duitama
71.2,15244,El Cocuy
80.2,15248,El Espino
69.6,15272,Firavitoba
61.8,15276,Floresta
107.2,15293,Gachantivá
58.4,15296,Gameza
66.9,15299,Garagoa
73.2,15317,Guacamayas
99.4,15322,Guateque
65.3,15325,Guayatá
30.3,15332,Güicán
58.5,15362,Iza
69.3,15367,Jenesano
54.4,15368,Jericó
37.5,15377,Labranzagrande
80.8,15380,La Capilla
53.8,15401,La Victoria
100.6,15403,La Uvita
77.7,15407,Villa de Leyva
61.5,15425,Macanal
61.9,15442,Maripí
75.5,15455,Miraflores
64.9,15464,Mongua
74.7,15466,Monguí
78.9,15469,Moniquirá
58.2,15476,Motavita
73.4,15480,Muzo
74.4,15491,Nobsa
64.0,15494,Nuevo Colón
59.2,15500,Oicatá
49.9,15507,Otanche
62.3,15511,Pachavita
65.8,15514,Páez
92.6,15516,Paipa
106.0,15518,Pajarito
116.5,15522,Panqueba
62.9,15531,Pauna
82.8,15533,Paya
65.8,15537,Paz de Río
65.9,15542,Pesca
100.0,15550,Pisba
69.7,15572,Puerto Boyacá
57.5,15580,Quípama
74.9,15599,Ramiriquí
20.2,15600,Ráquira
69.6,15621,Rondón
79.4,15632,Saboyá
72.9,15638,Sáchica
71.0,15646,Samacá
64.6,15660,San Eduardo
63.4,15664,San José de Pare
75.3,15667,San Luis de Gaceno
72.5,15673,San Mateo
54.4,15676,San Miguel de Sema
61.9,15681,San Pablo de Borbur
92.5,15686,Santana
68.0,15690,Santa María
68.2,15693,Santa Rosa de Viterbo
92.5,15696,Santa Sofía
51.8,15720,Sativanorte
101.3,15723,Sativasur
81.7,15740,Siachoque
107.2,15753,Soatá
62.2,15755,Socotá
91.8,15757,Socha
94.6,15759,Sogamoso
86.9,15761,Somondoco
78.1,15762,Sora
60.1,15763,Sotaquirá
95.0,15764,Soracá
47.6,15774,Susacón
76.0,15776,Sutamarchán
62.4,15778,Sutatenza
72.3,15790,Tasco
76.0,15798,Tenza
66.9,15804,Tibaná
61.8,15806,Tibasosa
61.2,15808,Tinjacá
78.7,15810,Tipacoque
77.5,15814,Toca
67.0,15816,Togüí
84.5,15820,Tópaga
76.6,15822,Tota
68.7,15832,Tununguá
103.4,15835,Turmequé
89.4,15837,Tuta
54.0,15842,Umbita
77.7,15861,Ventaquemada
64.2,15879,Viracachá
99.7,15897,Zetaquira
75.6,17001,Manizales
69.0,17013,Aguadas
74.6,17042,Anserma
78.3,17050,Aranzazu
67.4,17088,Belalcázar
68.5,17174,Chinchiná
76.1,17272,Filadelfia
69.5,17380,La Dorada
107.4,17388,La Merced
53.7,17433,Manzanares
72.1,17442,Marmato
64.0,17444,Marquetalia
49.8,17446,Marulanda
41.8,17486,Neira
74.3,17495,Norcasia
65.0,17513,Pácora
69.3,17524,Palestina
60.0,17541,Pensilvania
71.3,17614,Riosucio
78.5,17616,Risaralda
68.7,17653,Salamina
56.0,17662,Samaná
51.9,17665,San José
71.7,17777,Supía
78.7,17867,Victoria
80.0,17873,Villamaría
80.6,17877,Viterbo
72.8,18001,Florencia
51.3,18029,Albania
58.0,18094,Belén de los Andaquies
48.1,18150,Cartagena del Chairá
55.7,18205,Curillo
65.4,18247,El Doncello
40.3,18256,El Paujil
35.2,18410,La Montañita
45.2,18460,Milán
56.0,18479,Morelia
51.2,18592,Puerto Rico
64.9,18610,San José del Fragua
51.2,18753,San Vicente del Caguán
21.7,18756,Solano
58.6,18785,Solita
44.1,18860,Valparaíso
85.4,19001,Popayán
45.2,19022,Almaguer
54.9,19050,Argelia
49.5,19075,Balboa
58.9,19100,Bolívar
47.4,19110,Buenos Aires
59.2,19130,Cajibío
70.2,19137,Caldono
65.8,19212,Corinto
71.2,19256,El Tambo
57.2,19290,Florencia
55.4,19300,Guachene
37.9,19318,Guapi
60.6,19355,Inzá
60.1,19364,Jambaló
70.6,19392,La Sierra
29.5,19397,La Vega
26.5,19418,López
58.8,19450,Mercaderes
50.4,19455,Miranda
72.3,19473,Morales
75.2,19513,Padilla
54.6,19517,Paez
52.8,19532,Patía
39.5,19533,Piamonte
68.0,19548,Piendamó
68.5,19573,Puerto Tejada
57.9,19585,Puracé
60.9,19622,Rosas
53.9,19693,San Sebastián
75.6,19698,Santander de Quilichao
33.4,19701,Santa Rosa
61.9,19743,Silvia
41.0,19760,Sotara
63.6,19780,Suárez
47.5,19785,Sucre
73.2,19807,Timbío
38.3,19809,Timbiquí
64.9,19821,Toribio
53.4,19824,Totoró
68.1,19845,Villa Rica
71.1,20001,Valledupar
73.2,20011,Aguachica
71.9,20013,Agustín Codazzi
60.2,20032,Astrea
85.0,20045,Becerril
62.4,20060,Bosconia
75.9,20175,Chimichagua
84.8,20178,Chiriguaná
92.2,20228,Curumaní
67.5,20238,El Copey
87.2,20250,El Paso
47.4,20295,Gamarra
31.9,20310,González
64.1,20383,La Gloria
98.7,20400,La Jagua de Ibirico
57.2,20443,Manaure
74.4,20517,Pailitas
70.8,20550,Pelaya
40.2,20570,Pueblo Bello
73.7,20614,Río de Oro
69.7,20621,La Paz
65.6,20710,San Alberto
82.7,20750,San Diego
75.1,20770,San Martín
82.9,20787,Tamalameque
81.7,23001,Montería
58.2,23068,Ayapel
62.5,23079,Buenavista
65.1,23090,Canalete
84.2,23162,Cereté
65.4,23168,Chimá
72.5,23182,Chinú
66.7,23189,Ciénaga de Oro
84.5,23300,Cotorra
62.5,23350,La Apartada
81.7,23417,Lorica
50.1,23419,Los Córdobas
83.3,23464,Momil
75.4,23466,Montelíbano
72.8,23500,Moñitos
79.4,23555,Planeta Rica
54.8,23570,Pueblo Nuevo
57.4,23574,Puerto Escondido
48.7,23580,Puerto Libertador
83.8,23586,Purísima
86.9,23660,Sahagún
74.1,23670,San Andrés Sotavento
82.1,23672,San Antero
66.6,23675,San Bernardo del Viento
70.3,23678,San Carlos
63.7,23682,San José de Uré
75.7,23686,San Pelayo
61.3,23807,Tierralta
60.7,23815,Tuchín
67.7,23855,Valencia
76.2,25001,Agua de Dios
69.4,25019,Albán
82.1,25035,Anapoima
104.0,25040,Anolaima
60.2,25053,Arbeláez
81.3,25086,Beltrán
49.5,25095,Bituima
63.3,25099,Bojacá
75.4,25120,Cabrera
55.6,25123,Cachipay
82.4,25126,Cajicá
58.0,25148,Caparrapí
89.3,25151,Caqueza
63.8,25154,Carmen de Carupa
60.3,25168,Chaguaní
84.7,25175,Chía
84.9,25178,Chipaque
95.7,25181,Choachí
69.5,25183,Chocontá
80.8,25200,Cogua
76.1,25224,Cucunubá
90.5,25245,El Colegio
65.8,25258,El Peñón
88.9,25260,El Rosal
81.4,25269,Facatativá
78.9,25279,Fomeque
63.7,25281,Fosca
104.5,25286,Funza
87.7,25290,Fusagasugá
64.7,25293,Gachala
54.3,25295,Gachancipá
77.4,25297,Gachetá
65.0,25299,Gama
86.0,25307,Girardot
70.7,25312,Granada
90.1,25317,Guachetá
59.2,25320,Guaduas
89.1,25322,Guasca
71.4,25324,Guataquí
86.8,25328,Guayabal de Siquima
119.9,25335,Guayabetal
69.9,25339,Gutiérrez
54.7,25368,Jerusalén
61.3,25372,Junín
118.0,25377,La Calera
80.6,25386,La Mesa
75.9,25394,La Palma
58.0,25398,La Peña
95.0,25402,La Vega
63.0,25407,Lenguazaque
79.0,25426,Macheta
82.5,25430,Madrid
58.3,25436,Manta
59.4,25438,Medina
108.8,25473,Mosquera
82.7,25483,Nariño
78.4,25486,Nemocón
53.7,25488,Nilo
43.4,25489,Nimaima
68.5,25491,Nocaima
100.4,25506,Venecia
78.9,25513,Pacho
13.3,94888,Morichal
88.1,25518,Paime
51.8,25524,Pandi
81.8,25530,Paratebueno
101.7,25535,Pasca
63.9,25572,Puerto Salgar
76.1,25580,Pulí
75.5,25592,Quebradanegra
85.0,25594,Quetame
60.2,25596,Quipile
78.5,25599,Apulo
76.1,25612,Ricaurte
73.6,25645,San Antonio del Tequendama
88.0,25649,San Bernardo
75.5,25653,San Cayetano
45.8,50330,Mesetas
69.9,25658,San Francisco
68.5,25662,San Juan de Río Seco
90.7,25718,Sasaima
67.2,25736,Sesquilé
61.6,25740,Sibaté
61.8,25743,Silvania
74.8,25745,Simijaca
50.0,85315,Sácama
80.1,25754,Soacha
78.2,25758,Sopó
118.7,25769,Subachoque
64.7,25772,Suesca
66.9,25777,Supatá
33.9,25779,Susa
63.2,25781,Sutatausa
58.6,25785,Tabio
84.0,25793,Tausa
67.7,25797,Tena
74.6,25805,Tibacuy
68.0,25807,Tibirita
68.1,25815,Tocaima
84.6,25817,Tocancipá
61.76,15114,Busbanzá
72.1,25823,Topaipí
66.0,25839,Ubalá
94.5,25841,Ubaque
92.1,25843,Villa de San Diego de Ubate
72.4,25845,Une
67.3,25851,Útica
58.4,25862,Vergara
84.9,25867,Vianí
75.8,25871,Villagómez
89.7,25873,Villapinzón
91.7,25875,Villeta
92.9,25878,Viotá
57.6,25885,Yacopí
64.3,25898,Zipacón
80.1,25899,Zipaquirá
70.9,27001,Quibdó
66.9,27006,Acandí
40.7,27050,Atrato
52.2,27073,Bagadó
76.0,27075,Bahía Solano
34.7,27077,Bajo Baudó
33.8,27099,Bojaya
34.3,27135,El Cantón del San Pablo
46.4,27150,Carmen del Darien
28.0,27160,Cértegui
54.7,27205,Condoto
30.9,27245,El Carmen de Atrato
25.9,27250,El Litoral del San Juan
83.5,27361,Istmina
41.2,27372,Juradó
27.6,27413,Lloró
19.7,27430,Medio Baudó
35.7,27450,Medio San Juan
34.8,27491,Nóvita
34.7,27495,Nuquí
21.7,27580,Río Iro
38.3,27600,Río Quito
41.3,27615,Riosucio
55.0,27660,San José del Palmar
18.7,27745,Sipí
53.9,27787,Tadó
41.5,27800,Unguía
36.0,27810,Unión Panamericana
83.5,41001,Neiva
62.0,41006,Acevedo
74.5,41013,Agrado
55.3,41016,Aipe
76.3,41020,Algeciras
54.9,41026,Altamira
50.5,41078,Baraya
66.0,41132,Campoalegre
35.4,41206,Colombia
76.2,41244,Elías
62.8,41298,Garzón
73.6,41306,Gigante
70.8,41319,Guadalupe
76.5,41349,Hobo
73.9,41357,Iquira
71.9,41359,Isnos
73.5,41378,La Argentina
71.3,41396,La Plata
86.3,41483,Nátaga
58.5,41503,Oporapa
79.8,41518,Paicol
72.6,41524,Palermo
69.8,41530,Palestina
83.3,41548,Pital
83.5,41551,Pitalito
104.9,41615,Rivera
67.8,41660,Saladoblanco
80.5,41668,San Agustín
74.5,41676,Santa María
77.9,41770,Suaza
78.5,41791,Tarqui
93.2,41797,Tesalia
60.6,41799,Tello
68.4,41801,Teruel
77.2,41807,Timaná
60.0,41872,Villavieja
81.6,41885,Yaguará
48.6,44001,Riohacha
55.4,44035,Albania
54.1,44078,Barrancas
46.8,44090,Dibulla
33.8,44098,Distracción
47.7,44110,El Molino
96.7,44279,Fonseca
40.0,44378,Hatonuevo
56.0,44420,La Jagua del Pilar
66.3,44430,Maicao
15.0,44560,Manaure
92.5,44650,San Juan del Cesar
11.0,44847,Uribia
47.0,44855,Urumita
70.7,44874,Villanueva
73.3,47001,Santa Marta
71.1,47030,Algarrobo
58.6,47053,Aracataca
62.9,47058,Ariguaní
54.4,47161,Cerro San Antonio
76.2,47170,Chibolo
69.0,47189,Ciénaga
93.4,47205,Concordia
74.8,47245,El Banco
73.6,47258,El Piñon
64.5,47268,El Retén
79.3,47288,Fundación
72.0,47318,Guamal
57.4,47460,Nueva Granada
77.1,47541,Pedraza
40.8,47545,Pijiño del Carmen
74.9,47551,Pivijay
64.2,47555,Plato
57.1,47570,Puebloviejo
66.4,47605,Remolino
36.1,47660,Sabanas de San Angel
94.2,47675,Salamina
80.9,47692,San Sebastián de Buenavista
84.2,47703,San Zenón
56.8,47707,Santa Ana
45.9,47720,Santa Bárbara de Pinto
38.3,47745,Sitionuevo
83.5,47798,Tenerife
57.4,47960,Zapayán
68.5,47980,Zona Bananera
81.9,50001,Villavicencio
103.8,50006,Acacías
119.6,50110,Barranca de Upía
90.7,50124,Cabuyaro
107.1,50150,Castilla la Nueva
100.7,50226,Cumaral
86.2,50245,El Calvario
82.3,50251,El Castillo
92.0,50270,El Dorado
71.4,50287,Fuente de Oro
86.7,50313,Granada
113.8,50318,Guamal
16.9,50325,Mapiripán
25.8,50350,La Macarena
23.3,50370,Uribe
81.0,50400,Lejanías
26.3,50450,Puerto Concordia
80.0,50568,Puerto Gaitán
78.4,50573,Puerto López
58.2,50577,Puerto Lleras
30.1,50590,Puerto Rico
103.1,50680,San Carlos de Guaroa
60.2,50683,San Juan de Arama
57.7,50686,San Juanito
87.5,50689,San Martín
45.3,50711,Vistahermosa
73.2,52001,Pasto
29.3,52019,Albán
98.8,52022,Aldana
81.4,52036,Ancuyá
83.8,52051,Arboleda
35.0,52079,Barbacoas
68.9,52083,Belén
56.2,52110,Buesaco
56.8,52203,Colón
81.4,52207,Consaca
33.2,52210,Contadero
83.8,52215,Córdoba
48.6,52224,Cuaspud
65.8,52227,Cumbal
32.3,52233,Cumbitara
66.1,52240,Chachagüí
32.6,52250,El Charco
68.1,52254,El Peñol
45.0,52256,El Rosario
71.2,52258,El Tablón de Gómez
71.2,52260,El Tambo
72.0,52287,Funes
83.3,52317,Guachucal
67.4,52320,Guaitarilla
90.1,52323,Gualmatán
80.8,52352,Iles
91.6,52354,Imués
65.5,52356,Ipiales
69.6,52378,La Cruz
73.9,52381,La Florida
53.2,52385,La Llanada
23.2,52390,La Tola
85.6,52399,La Unión
41.2,52405,Leiva
56.6,52411,Linares
28.2,52418,Los Andes
14.4,52427,Magüi
50.3,52435,Mallama
26.6,52473,Mosquera
55.8,52480,Nariño
21.4,52490,Olaya Herrera
55.5,52506,Ospina
17.2,52520,Francisco Pizarro
43.5,52540,Policarpa
65.4,52560,Potosí
24.5,52565,Providencia
90.9,52573,Puerres
75.8,52585,Pupiales
31.1,52612,Ricaurte
21.3,52621,Roberto Payán
34.9,52678,Samaniego
55.6,52683,Sandoná
26.3,52685,San Bernardo
63.1,52687,San Lorenzo
65.5,52693,San Pablo
55.4,52694,San Pedro de Cartago
21.1,52696,Santa Bárbara
17.0,52699,Santacruz
63.3,52720,Sapuyes
72.8,52786,Taminango
66.9,52788,Tangua
55.6,52835,San Andres de Tumaco
72.9,52838,Túquerres
66.5,52885,Yacuanquer
76.5,54001,Cúcuta
41.4,54003,Abrego
67.3,54051,Arboledas
62.5,54099,Bochalema
70.8,54109,Bucarasica
93.8,54125,Cácota
53.5,54128,Cachirá
69.8,54172,Chinácota
51.8,54174,Chitagá
74.5,54206,Convención
67.4,54223,Cucutilla
74.0,54239,Durania
36.7,54245,El Carmen
49.5,54250,El Tarra
74.8,54261,El Zulia
60.4,54313,Gramalote
20.7,54344,Hacarí
36.2,54347,Herrán
54.8,54377,Labateca
48.5,54385,La Esperanza
55.8,54398,La Playa
67.5,54405,Los Patios
48.8,54418,Lourdes
70.9,54480,Mutiscua
67.3,54498,Ocaña
57.3,54518,Pamplona
71.1,54520,Pamplonita
48.0,54553,Puerto Santander
42.3,54599,Ragonvalia
65.2,54660,Salazar
24.4,54670,San Calixto
62.6,54673,San Cayetano
71.9,54680,Santiago
44.5,54720,Sardinata
59.7,54743,Silos
26.3,54800,Teorama
59.8,54810,Tibú
65.0,54820,Toledo
42.0,54871,Villa Caro
63.8,54874,Villa del Rosario
81.1,63001,Armenia
94.3,63111,Buenavista
78.5,63130,Calarca
72.7,63190,Circasia
80.5,63212,Córdoba
70.1,63272,Filandia
75.2,63302,Génova
66.6,63401,La Tebaida
69.9,63470,Montenegro
111.2,63548,Pijao
77.8,63594,Quimbaya
113.9,63690,Salento
83.4,66001,Pereira
50.6,66045,Apía
81.9,66075,Balboa
65.5,66088,Belén de Umbría
72.8,66170,Dosquebradas
70.5,66318,Guática
60.3,66383,La Celia
84.07,15380,La Capilla
81.6,66400,La Virginia
49.5,66440,Marsella
44.6,66456,Mistrató
60.0,66572,Pueblo Rico
68.1,66594,Quinchía
72.6,66682,Santa Rosa de Cabal
61.1,66687,Santuario
86.4,68001,Bucaramanga
68.1,68013,Aguada
48.7,68020,Albania
89.0,68051,Aratoca
83.0,68077,Barbosa
75.6,68079,Barichara
96.1,68081,Barrancabermeja
82.7,68092,Betulia
57.1,68101,Bolívar
53.8,68121,Cabrera
49.3,68132,California
91.5,68147,Capitanejo
64.8,68152,Carcasí
81.6,68160,Cepitá
69.8,68162,Cerrito
97.4,68167,Charalá
80.7,68169,Charta
71.7,68176,Chima
79.1,68179,Chipatá
53.3,68190,Cimitarra
68.3,68207,Concepción
63.6,68209,Confines
71.4,68211,Contratación
48.0,68217,Coromoro
73.9,68229,Curití
54.8,68235,El Carmen de Chucurí
63.1,68245,El Guacamayo
55.1,68250,El Peñón
87.6,68255,El Playón
85.8,68264,Encino
95.8,68266,Enciso
61.8,68271,Florián
75.0,68276,Floridablanca
110.1,68296,Galán
46.9,68298,Gambita
64.7,68307,Girón
62.4,68318,Guaca
74.4,68320,Guadalupe
83.7,68322,Guapotá
54.3,68324,Guavatá
106.0,68327,Güepsa
65.2,68344,Hato
89.5,68368,Jesús María
121.5,68370,Jordán
53.7,68377,La Belleza
54.4,68385,Landázuri
74.7,68397,La Paz
76.9,68406,Lebríja
84.0,68418,Los Santos
82.5,68425,Macaravita
116.5,68432,Málaga
82.2,68444,Matanza
75.3,68464,Mogotes
66.8,68468,Molagavita
56.6,68498,Ocamonte
81.5,68500,Oiba
70.5,68502,Onzaga
43.1,68522,Palmar
90.4,68524,Palmas del Socorro
86.2,68533,Páramo
82.9,68547,Piedecuesta
60.1,68549,Pinchote
47.8,68573,Puerto Parra
70.4,68575,Puerto Wilches
67.6,68615,Rionegro
122.4,68655,Sabana de Torres
105.1,68669,San Andrés
43.9,68673,San Benito
111.5,68679,San Gil
77.5,68682,San Joaquín
61.8,68684,San José de Miranda
92.7,68686,San Miguel
68.2,68689,San Vicente de Chucurí
80.5,68705,Santa Bárbara
48.3,68720,Santa Helena del Opón
69.5,68745,Simacota
89.2,68755,Socorro
83.3,68770,Suaita
65.4,68773,Sucre
72.1,68780,Suratá
68.3,68820,Tona
88.1,68855,Valle de San José
81.6,68861,Vélez
49.8,68867,Vetas
89.0,68872,Villanueva
95.5,68895,Zapatoca
82.5,70001,Sincelejo
74.2,70110,Buenavista
64.2,70124,Caimito
95.8,70204,Colosó
86.5,70215,Corozal
78.7,70221,Coveñas
83.1,70230,Chalán
57.0,70233,El Roble
71.4,70235,Galeras
57.9,70265,Guaranda
74.8,70400,La Unión
88.5,70418,Los Palmitos
77.5,70429,Majagual
56.4,70473,Morroa
84.2,70508,Ovejas
67.7,70523,Palmito
76.2,70670,Sampués
61.1,70678,San Benito Abad
78.9,70702,San Juan de Betulia
68.4,70708,San Marcos
64.0,70713,San Onofre
87.8,70717,San Pedro
62.8,70742,Sincé
65.8,70771,Sucre
68.3,70820,Santiago de Tolú
80.3,70823,Toluviejo
75.1,73001,Ibagué
63.7,73024,Alpujarra
81.6,73026,Alvarado
69.8,73030,Ambalema
37.6,73043,Anzoátegui
80.1,73055,Armero
54.4,73067,Ataco
71.5,73124,Cajamarca
87.3,73148,Carmen de Apicalá
63.0,73152,Casabianca
73.8,73168,Chaparral
58.1,73200,Coello
73.7,73217,Coyaima
68.9,73226,Cunday
80.2,73236,Dolores
76.5,73268,Espinal
74.1,73270,Falan
65.4,73275,Flandes
72.5,73283,Fresno
74.1,73319,Guamo
65.0,73347,Herveo
79.0,73349,Honda
88.6,73352,Icononzo
80.9,73408,Lérida
76.6,73411,Líbano
90.5,73443,Mariquita
81.2,73449,Melgar
57.6,73461,Murillo
66.9,73483,Natagaima
82.3,73504,Ortega
59.4,73520,Palocabildo
86.9,73547,Piedras
58.9,73555,Planadas
103.0,73563,Prado
72.8,73585,Purificación
50.0,73616,Rioblanco
69.0,73622,Roncesvalles
93.6,73624,Rovira
73.9,73671,Saldaña
83.4,73675,San Antonio
56.7,73678,San Luis
63.9,73686,Santa Isabel
62.1,73770,Suárez
72.1,73854,Valle de San Juan
50.7,73861,Venadillo
62.8,73870,Villahermosa
84.0,73873,Villarrica
70.3,76001,Cali
42.5,76020,Alcalá
80.2,76036,Andalucía
62.7,76041,Ansermanuevo
58.4,76054,Argelia
82.7,76100,Bolívar
51.1,76109,Buenaventura
89.1,76111,Guadalajara de Buga
87.8,76113,Bugalagrande
71.9,76122,Caicedonia
91.4,76126,Calima El Darien
83.9,76130,Candelaria
76.8,76147,Cartago
90.1,76233,Dagua
58.8,76243,El Águila
44.2,76246,El Cairo
87.2,76248,El Cerrito
61.3,76250,El Dovio
78.2,76275,Florida
112.4,76306,Ginebra
111.9,85300,Sabanalarga
70.2,76318,Guacarí
70.6,76364,Jamundí
89.7,76377,La Cumbre
70.5,76400,La Unión
90.3,76403,La Victoria
55.8,76497,Obando
81.3,76520,Palmira
63.7,76563,Pradera
75.8,76606,Restrepo
82.5,76616,Riofrío
92.4,76622,Roldanillo
66.6,76670,San Pedro
61.2,76736,Sevilla
66.6,76823,Toro
69.1,76828,Trujillo
82.7,76834,Tuluá
49.5,76845,Ulloa
80.0,76863,Versalles
89.2,76869,Vijes
71.1,76890,Yotoco
80.8,76892,Yumbo
77.1,76895,Zarzal
54.3,81001,Arauca
44.4,81065,Arauquita
51.5,81220,Cravo Norte
38.4,81300,Fortul
51.2,81591,Puerto Rondón
62.0,81736,Saravena
62.7,81794,Tame
77.36,41885,Yaguará
90.4,85001,Yopal
79.4,85010,Aguazul
61.2,85015,Chameza
70.6,85125,Hato Corozal
73.3,85136,La Salina
105.2,85139,Maní
94.2,85162,Monterrey
59.6,85225,Nunchía
85.9,85230,Orocué
87.5,85250,Paz de Ariporo
81.2,85263,Pore
17.1,85279,Recetor
60.4,85325,San Luis de Palenque
56.8,85400,Támara
99.8,85410,Tauramena
62.7,85430,Trinidad
95.9,85440,Villanueva
96.5,86001,Mocoa
63.4,86219,Colón
46.8,86320,Orito
69.0,86568,Puerto Asís
44.9,86569,Puerto Caicedo
43.8,86571,Puerto Guzmán
89.0,86573,Leguízamo
96.0,86749,Sibundoy
56.1,86755,San Francisco
40.1,86757,San Miguel
42.7,86760,Santiago
45.6,86865,Valle del Guamuez
77.9,86885,Villagarzón
61.1,88001,San Andrés
81.1,88564,Providencia
84.5,91001,Leticia
19.6,91263,El Encanto
31.2,91405,La Chorrera
29.4,91407,La Pedrera
24.9,91460,Miriti - Paraná
51.3,91540,Puerto Nariño
28.8,91669,Puerto Santander
35.6,91798,Tarapacá
51.9,94001,Inírida
22.3,94343,Barranco Minas
16.0,94663,Mapiripana
14.7,94883,San Felipe
52.8,95001,San José del Guaviare
42.2,95015,Calamar
33.4,95025,El Retorno
20.0,95200,Miraflores
35.0,97001,Mitú
43.1,97161,Caruru
16.7,97511,Pacoa
63.4,97666,Taraira
29.0,97889,Yavaraté
69.3,99001,Puerto Carreño
44.0,99524,La Primavera
41.8,99624,Santa Rosalía
20.1,99773,Cumaribo
68.21,05001,Medellín
74.73,05002,Abejorral
77.7,05004,Abriaquí
76.47,05021,Alejandría
72.98,05030,Amagá
63.49,05031,Amalfi
67.26,05034,Andes
66.81,05036,Angelópolis
62.4,05038,Angostura
66.13,05040,Anorí
62.43,05042,Santafé de Antioquia
69.29,05044,Anza
64.73,05045,Apartadó
61.86,05051,Arboletes
71.93,05055,Argelia
67.78,05059,Armenia
73.26,05079,Barbosa
69.08,05086,Belmira
66.64,05088,Bello
70.73,05091,Betania
63.27,05093,Betulia
70.03,05101,Ciudad Bolívar
57.38,05107,Briceño
58.89,05113,Buriticá
63.63,05120,Cáceres
62.85,05125,Caicedo
75.06,05129,Caldas
64.34,05134,Campamento
62.0,05138,Cañasgordas
59.1,05142,Caracolí
70.76,05145,Caramanta
60.32,05147,Carepa
79.74,05148,El Carmen de Viboral
66.56,05150,Carolina
65.22,05154,Caucasia
65.16,05172,Chigorodó
74.07,05190,Cisneros
78.26,05197,Cocorná
72.9,05206,Concepción
60.74,05209,Concordia
74.66,05212,Copacabana
55.84,05234,Dabeiba
70.4,05237,Don Matías
66.48,05240,Ebéjico
64.15,05250,El Bagre
71.85,05264,Entrerrios
75.34,05266,Envigado
67.49,05282,Fredonia
64.83,05284,Frontino
78.91,05306,Giraldo
75.34,05308,Girardota
64.82,05310,Gómez Plata
77.29,05313,Granada
62.47,05315,Guadalupe
77.2,05318,Guarne
75.05,05321,Guatape
70.53,05347,Heliconia
53.62,05353,Hispania
70.55,05360,Itagüí
68.03,05361,Ituango
68.02,05364,Jardín
70.37,05368,Jericó
76.25,05376,La Ceja
75.5,05380,La Estrella
62.11,05390,La Pintada
83.93,05400,La Unión
68.57,05411,Liborina
65.15,05425,Maceo
79.08,05440,Marinilla
71.82,05467,Montebello
57.84,05475,Murindó
59.95,05480,Mutatá
67.05,05483,Nariño
65.98,05490,Necoclí
63.82,05495,Nechí
74.26,05501,Olaya
72.01,05541,Peñol
56.05,05543,Peque
65.89,05576,Pueblorrico
34.29,94884,Puerto Colombia
70.87,05579,Puerto Berrío
66.3,05585,Puerto Nare
60.23,05591,Puerto Triunfo
73.3,05604,Remedios
75.83,05607,Retiro
70.88,05615,Rionegro
64.51,05628,Sabanalarga
77.68,05631,Sabaneta
61.82,05642,Salgar
68.92,05647,San Andrés
66.12,05649,San Carlos
54.6,05652,San Francisco
71.09,05656,San Jerónimo
74.79,05658,San José de la Montaña
66.47,05659,San Juan de Urabá
62.53,05660,San Luis
70.91,05664,San Pedro
61.29,05665,San Pedro de Uraba
68.35,05667,San Rafael
66.92,05670,San Roque
78.5,05674,San Vicente
75.77,05679,Santa Bárbara
69.28,05686,Santa Rosa de Osos
60.86,05690,Santo Domingo
75.17,05697,El Santuario
71.52,05736,Segovia
72.24,05756,Sonson
66.58,05761,Sopetrán
66.52,05789,Támesis
58.21,05790,Tarazá
57.62,05792,Tarso
68.7,05809,Titiribí
53.8,05819,Toledo
68.83,05837,Turbo
61.69,05842,Uramita
69.82,05847,Urrao
56.89,05854,Valdivia
65.53,05856,Valparaíso
66.49,05858,Vegachí
67.85,05861,Venecia
45.58,05873,Vigía del Fuerte
58.17,05885,Yalí
66.46,05887,Yarumal
72.46,05890,Yolombó
73.09,05893,Yondó
60.66,05895,Zaragoza
78.83,08001,Barranquilla
77.19,08078,Baranoa
69.22,08137,Campo de la Cruz
68.01,08141,Candelaria
73.88,08296,Galapa
75.26,08372,Juan de Acosta
71.63,08421,Luruaco
76.39,08433,Malambo
69.98,08436,Manatí
79.1,08520,Palmar de Varela
69.73,08549,Piojó
74.35,08558,Polonuevo
66.14,08560,Ponedera
76.79,08573,Puerto Colombia
69.35,08606,Repelón
78.02,08634,Sabanagrande
77.1,08638,Sabanalarga
62.93,08675,Santa Lucía
68.14,08685,Santo Tomás
80.28,08758,Soledad
68.36,08770,Suan
64.69,08832,Tubará
76.3,08849,Usiacurí
80.15,11001,"Bogotá, D.C."
75.59,13001,Cartagena
64.86,13006,Achí
60.5,13030,Altos del Rosario
67.95,13042,Arenal
68.55,13052,Arjona
69.76,13062,Arroyohondo
68.48,13074,Barranco de Loba
65.02,13140,Calamar
63.53,13160,Cantagallo
60.94,13188,Cicuco
64.78,13212,Córdoba
71.63,13222,Clemencia
69.35,13244,El Carmen de Bolívar
70.48,13248,El Guamo
68.72,13268,El Peñón
64.12,13300,Hatillo de Loba
